Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_Limit,Junction_Detail,Junction_Control,Pedestrian_Crossing_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Road_Hazards,Vehicle_Reference.x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Pedestrian_Location,Car_Passenger,Bus_or_Coach_Passenger,Vehicle_Reference.y,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_in_Restricted_Lane,Skidding_and_Overturning,Hit_Object_on_Road,Vehicle_veer_off_Road,Hit_Object_off_Road,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_CC,Engine_Type,Age_of_Vehicle
200501CW11136,Slight,2,1,4/9/2005,Sunday,10:05,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,65,Slight,Not pedestrian,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,65,1998,Petrol,8
200501CW11136,Slight,2,1,4/9/2005,Sunday,10:05,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,65,Slight,Not pedestrian,None,None,2,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,M,27,1999,Petrol,3
200501CW11137,Slight,2,1,19/8/2005,Friday,15:20,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Rain,Wet,None,None,2,1,Driver,F,31,Slight,Not pedestrian,None,None,1,Car,Reversing,N,No,Y,N,N,Unknown,M,54,1086,Petrol,NA
200501CW11137,Slight,2,1,19/8/2005,Friday,15:20,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Rain,Wet,None,None,2,1,Driver,F,31,Slight,Not pedestrian,None,None,2,Car,Parking,N,No,N,N,N,Unknown,F,31,3400,LPG,6
200501CW11139,Slight,2,1,23/8/2005,Tuesday,5:00,Single motorway,30,Crossroad,Traffic light,Traffic light,Lights lit,Fine,Dry,None,None,1,1,Driver,F,27,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,F,27,998,Petrol,10
200501CW11139,Slight,2,1,23/8/2005,Tuesday,5:00,Single motorway,30,Crossroad,Traffic light,Traffic light,Lights lit,Fine,Dry,None,None,1,1,Driver,F,27,Slight,Not pedestrian,None,None,2,Goods Van,Going ahead,N,No,N,N,N,Job,M,-1,2402,Heavy oil,2
200501CW11141,Slight,2,1,18/8/2005,Thursday,17:45,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,29,Slight,Not pedestrian,None,None,1,Motorcycle,Parking,N,No,N,N,N,Job,M,29,124,Petrol,2
200501CW11141,Slight,2,1,18/8/2005,Thursday,17:45,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,29,Slight,Not pedestrian,None,None,2,Car,Moving off,N,No,N,N,N,Unknown,F,41,NA,NA,NA
200501CW11142,Slight,2,1,3/8/2005,Wednesday,19:30,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,20,Slight,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,N,N,N,Unknown,M,20,85,Petrol,4
200501CW11142,Slight,2,1,3/8/2005,Wednesday,19:30,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,20,Slight,Not pedestrian,None,None,2,Motorcycle,Waiting to/Turning left,N,No,N,N,N,Unknown,M,-1,125,Petrol,1
